temp,feelsLike,pressure,humidity,clouds,windSpeed,windDir,gustSpeed,result
24.0,24.8,982.0,92.0,100.0,1.8,208.0,4.0,1
23.4,24.3,982.0,96.0,100.0,0.62,205.0,2.0,1
32.5,36.5,979.0,54.0,35.0,1.74,177.0,2.0,1
28.5,31.2,981.0,67.0,61.0,4.47,238.0,9.0,1
27.5,29.9,982.0,71.0,43.0,5.07,229.0,9.0,1
25.5,26.3,983.0,81.0,18.0,3.97,228.0,8.0,1
29.0,32.4,980.0,68.0,89.0,2.06,169.0,3.0,1
27.9,30.3,980.0,69.0,70.0,1.73,143.0,1.73,1
27.0,29.1,981.0,72.0,83.0,1.74,163.0,2.0,1
24.6,25.4,982.0,86.0,59.0,2.38,220.0,5.0,1
24.0,24.8,983.0,91.0,90.0,1.08,267.0,2.0,1
24.2,25.1,983.0,91.0,50.0,0.8,192.0,1.0,1
24.2,25.1,982.0,92.0,73.0,1.12,153.0,2.0,1
24.2,25.1,982.0,92.0,92.0,1.86,204.0,4.0,1
32.7,35.7,978.0,50.0,13.0,2.72,199.0,3.0,1
33.3,36.4,978.0,48.0,20.0,2.41,187.0,2.41,1
33.2,36.2,978.0,48.0,21.0,2.42,192.0,3.0,1
26.7,28.6,981.0,73.0,9.0,3.5,232.0,8.0,1
29.7,33.3,979.0,65.0,54.0,3.5,228.0,5.0,1
23.0,23.8,982.0,95.0,100.0,2.03,256.0,3.0,1
23.1,23.9,981.0,93.0,100.0,1.29,261.0,2.0,1
23.3,24.1,981.0,91.0,100.0,0.43,237.0,1.0,1
23.4,24.2,981.0,92.0,98.0,1.0,107.0,1.0,1
29.2,32.0,984.0,64.0,12.0,2.0,256.0,2.0,1
32.5,35.4,980.0,50.0,55.0,3.49,235.0,4.0,1
23.9,24.5,984.0,86.0,51.0,2.22,232.0,6.0,1
30.7,33.6,980.0,57.0,68.0,3.84,214.0,3.84,1
29.9,34.4,983.0,68.0,76.0,2.64,13.0,3.0,1
27.8,30.6,984.0,73.0,35.0,1.98,359.0,2.0,1
26.2,27.0,985.0,81.0,25.0,1.19,326.0,1.19,1
25.4,26.2,986.0,85.0,25.0,1.22,281.0,1.22,1
24.6,25.4,986.0,88.0,24.0,1.88,277.0,3.0,1
24.0,24.9,986.0,92.0,23.0,1.32,247.0,2.0,1
29.6,33.9,982.0,69.0,85.0,3.05,24.0,4.0,1
28.9,32.2,983.0,69.0,80.0,3.12,16.0,4.0,1
28.2,31.2,984.0,71.0,74.0,1.72,356.0,2.0,1
27.3,30.0,985.0,76.0,71.0,1.59,268.0,1.59,1
25.6,26.4,985.0,85.0,25.0,2.61,254.0,4.0,1
25.1,25.9,985.0,87.0,25.0,3.03,263.0,5.0,1
24.3,25.2,985.0,91.0,25.0,3.45,263.0,6.0,1
32.7,35.4,981.0,49.0,25.0,1.18,60.0,1.18,1
25.0,25.8,985.0,86.0,25.0,1.5,121.0,2.0,1
24.5,25.3,984.0,89.0,25.0,1.04,90.0,1.04,1
24.4,25.3,984.0,90.0,24.0,1.31,105.0,2.0,1
29.8,33.3,983.0,64.0,41.0,2.58,44.0,3.0,1
28.3,30.8,984.0,67.0,26.0,2.36,50.0,3.0,1
27.2,29.3,985.0,70.0,21.0,2.12,61.0,2.12,1
26.4,27.0,986.0,73.0,36.0,2.33,67.0,3.0,1
25.9,26.5,986.0,75.0,68.0,2.21,87.0,3.0,1
25.5,26.2,986.0,77.0,90.0,1.8,115.0,3.0,1
25.9,26.6,985.0,80.0,100.0,2.26,153.0,3.0,1
24.6,25.4,985.0,87.0,91.0,3.28,135.0,5.0,1
23.3,24.2,984.0,94.0,99.0,2.07,133.0,3.0,1
23.0,23.8,983.0,96.0,96.0,1.63,138.0,2.0,1
23.0,23.9,984.0,96.0,100.0,0.45,157.0,1.6,1
23.0,23.9,984.0,96.0,100.0,1.19,214.0,1.19,1
23.2,24.1,985.0,95.0,100.0,0.33,137.0,1.6,1
23.0,23.7,985.0,92.0,64.0,2.13,35.0,2.13,1
27.7,30.8,983.0,76.0,23.0,1.77,124.0,1.77,1
26.2,26.9,984.0,80.0,25.0,1.85,102.0,1.85,1
25.1,25.8,985.0,84.0,30.0,2.03,91.0,2.03,1
24.7,25.4,986.0,86.0,41.0,2.06,123.0,2.06,1
24.2,25.0,987.0,88.0,68.0,2.09,137.0,3.0,1
23.9,24.6,987.0,89.0,100.0,1.93,166.0,3.0,1
23.0,23.9,986.0,96.0,99.0,3.94,133.0,7.0,1
22.8,23.6,986.0,95.0,97.0,3.66,140.0,6.0,1
22.4,23.2,985.0,94.0,66.0,0.58,311.0,2.4,1
22.4,23.1,985.0,93.0,84.0,1.05,319.0,1.05,1
28.6,30.8,984.0,63.0,45.0,1.62,110.0,1.62,1
27.6,29.4,985.0,66.0,19.0,1.53,82.0,1.53,1
